,path_x,numint,path_y,nom_ls,gs_uri,label,lab_num
0,2023-03-14#pto#avant#0000003380605#88a9ac3114efc5e15393382b6997dfb8.jpeg,3380605,2023-03-14#pto#apres#0000003380605#580be6436eb3b44cbb6b39008e83ebe9.jpeg,3380605_136,3380605_136.jpeg,Same,0
1,2023-03-17#pto#avant#0000017716947#05da16ad0a3b864cd7f074a6652d470f.jpeg,17716947,2023-03-17#pto#apres#0000017716947#9977c2388d953c7804ed16ed38418de9.jpeg,17716947_3092,17716947_3092.jpeg,Same,0
2,2023-03-13#pto#avant#0000003145452#13fd18e9977d9395a17bc55895a6c16d.jpeg,3145452,2023-03-13#pto#apres#0000003145452#2ade4659e38423553590e50c51695bab.jpeg,3145452_48,3145452_48.jpeg,Same,0
3,2023-03-17#pto#avant#0000017966131#f34901d7cae63d21eb7f7cbfd6f2cbfb.jpeg,17966131,2023-03-17#pto#apres#0000017966131#c76acf09af9602b838aba6d0fdc565c6.jpeg,17966131_3300,17966131_3300.jpeg,Same,0
4,2023-03-13#pto#avant#0000017906860#1a62bb4b810f3c49334d9e4c1a56baf2.jpeg,17906860,2023-03-13#pto#apres#0000017906860#01e38d3152aeae6a0251dfdae6b3d042.jpeg,17906860_3226,17906860_3226.jpeg,Same,0
5,2023-03-18#pto#avant#0000023980190#6539a2153a7c1e0400b0174e99372c8e.jpeg,23980190,2023-03-18#pto#apres#0000023980190#31033127d8938764337224756c396ac2.jpeg,23980190_9035,23980190_9035.jpeg,Same,0
6,2023-03-10#pto#avant#0000024553724#06ed43c47327e4127240a5b2ac6466bf.jpeg,24553724,2023-03-10#pto#apres#0000024553724#867648b5b699578b77f5c20a557373c5.jpeg,24553724_9890,24553724_9890.jpeg,Same,0
7,2023-03-15#pto#avant#0000024584614#cec18612bf1be52c4dd48159ca199b61.jpeg,24584614,2023-03-15#pto#apres#0000024584614#629c62e1032dc2dc668b59290051f632.jpeg,24584614_9993,24584614_9993.jpeg,Same,0
8,2023-03-08#pto#avant#0000017925878#46723e74b0bf51a5c88d3256849b2e8c.jpeg,17925878,2023-03-08#pto#apres#0000017925878#254bf3da3322643706e36b297ecab3c6.jpeg,17925878_3232,17925878_3232.jpeg,Same,0
9,2023-03-16#pto#avant#0000018019432#7d931bf6455d80fb31edecc63856e345.jpeg,18019432,2023-03-16#pto#apres#0000018019432#a3c53478305d01ac33271bd00a069ed3.jpeg,18019432_4202,18019432_4202.jpeg,Same,0
10,2023-03-08#pto#avant#0000024618961#c7b57b55efbd149194ab26360b8d6647.jpeg,24618961,2023-03-08#pto#apres#0000024618961#59b134e49554a04f4e32d8588177a1d5.jpeg,24618961_10319,24618961_10319.jpeg,Same,0
11,2023-03-18#pto#avant#0000029546047#36bc16daabbb30d165d38f7755a31afc.jpeg,29546047,2023-03-18#point_penetration#apres#0000029546047#e0b8c581e6e5ba0983d751caa03e0761.jpeg,29546047_11157,29546047_11157.jpeg,Same,0
12,2023-03-13#pto#avant#0000017997103#c9d93a439895538b7e23bbb3b27bfd04.jpeg,17997103,2023-03-13#pto#apres#0000017997103#6c260c752adcc01510ff025cb98a5aae.jpeg,17997103_3725,17997103_3725.jpeg,Same,0
13,2023-03-10#pto#avant#0000029488159#e16140fc5966bff51db2ee79c529511d.jpeg,29488159,2023-03-10#pto#apres#0000029488159#a6d9287493f541ba13791c0c3e9927d4.jpeg,29488159_10884,29488159_10884.jpeg,Not same,1
14,2023-03-10#pto#avant#0000029551570#6e70fa36626109db362a4188d2c573b1.jpeg,29551570,2023-03-10#pto#apres#0000029551570#f07b7d6751f22b0bff9a654889c59edb.jpeg,29551570_11199,29551570_11199.jpeg,Same,0
15,2023-03-15#pto#avant#0000023979910#8979c692bc40cb40cd4b23e2d7a4ad81.jpeg,23979910,2023-03-15#pto#apres#0000023979910#49796bea55db92ab3838e3acfbef9092.jpeg,23979910_9034,23979910_9034.jpeg,Same,0
16,2023-03-21#pto#avant#0000018027341#9cae8829f24f2c9c03a90439b7b4cd3d.jpeg,18027341,2023-03-21#pto#apres#0000018027341#97e6c2df93fdf7b8c7e0074f56f07fb2.jpeg,18027341_4256,18027341_4256.jpeg,Same,0
17,2023-03-13#pto#avant#0000017992720#77afe1f4406706860ba380da3b6dddfa.jpeg,17992720,2023-03-13#pto#apres#0000017992720#1786aa34c494f23403c44c26ee9daeda.jpeg,17992720_3606,17992720_3606.jpeg,Same,0
18,2023-03-09#pto#avant#0000023843145#6da2dc722fc2e135c5ce25ba445ee064.jpeg,23843145,2023-03-09#pto#apres#0000023843145#916994d195e378ddb7a603031d374798.jpeg,23843145_8278,23843145_8278.jpeg,Same,0
19,2023-03-16#pto#avant#0000023262196#470e7d09e11b958e41dc04af6f192106.jpeg,23262196,2023-03-16#pto#apres#0000023262196#186bee5a26b70dfc71fc21a464db8905.jpeg,23262196_6574,23262196_6574.jpeg,Same,0
20,2023-03-10#pto#avant#0000030264433#82e3c959ae809c6a2fe181958d7a3779.jpeg,30264433,2023-03-10#pto#apres#0000030264433#cfe6c7731131dfc22614d13ba9a96fd8.jpeg,30264433_11535,30264433_11535.jpeg,Same,0
21,2023-03-15#pto#avant#0000029521620#cfdfb0b806f3f7dee2836541e1e1b739.jpeg,29521620,2023-03-15#pto#apres#0000029521620#b3b7605de0689ac5023e5b26d7721604.jpeg,29521620_11003,29521620_11003.jpeg,Same,0
22,2023-03-18#pto#avant#0000023270952#208bc424e9cab6a2a12c497e23cae6e5.jpeg,23270952,2023-03-18#pto#apres#0000023270952#fbb8d02e4f2b35d900d2a15bad4584e9.jpeg,23270952_6801,23270952_6801.jpeg,Same,0
23,2023-03-17#pto#avant#0000029565061#3622a09388c04530f7a71a8a01191973.jpeg,29565061,2023-03-17#pto#apres#0000029565061#4bb44700ca5941d11f36826325585e9b.jpeg,29565061_11349,29565061_11349.jpeg,Same,0
24,2023-03-13#pto#avant#0000011231890#f1cc4c1ddba41670007e94ab617e9794.jpeg,11231890,2023-03-13#pto#apres#0000011231890#7d903a69552535ffc75df8be5da11a26.jpeg,11231890_1129,11231890_1129.jpeg,Same,0
25,2023-03-11#pto#avant#0000009183208#c84b3cb32110c2058458dbe90778d706.jpeg,9183208,2023-03-11#pto#apres#0000009183208#d7e7b92551f7547e5f8556a1a52d6b6d.jpeg,9183208_650,9183208_650.jpeg,Not same,1
